,id,name,type,rarity,event,group,standard,new
symmetra-the-summoner,symmetra-the-summoner,The Summoner,icons,,HALLOWEEN,,False,True
mercy-the-witch,mercy-the-witch,The Witch,icons,,HALLOWEEN,HALLOWEEN_2016,False,False
tombstone,tombstone,Tombstone,icons,,HALLOWEEN,,False,False
top-500,top-500,Top 500,icons,,,competitive,False,False
torbjorn-torbjorn,torbjorn-torbjorn,Torbjörn,icons,,,,False,False
zarya-totally-80s,zarya-totally-80s,Totally 80's,icons,,HALLOWEEN,,False,True
totem,totem,Totem,icons,,,,False,False
tracer-tracer,tracer-tracer,Tracer,icons,,,,False,False
tracer-track,tracer-track,Track,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
training-bot,training-bot,Training Bot,icons,,,,False,False
united-kingdom,united-kingdom,United Kingdom,icons,,SUMMER_GAMES,,False,False
united-states-of-america,united-states-of-america,United States of America,icons,,SUMMER_GAMES,,False,False
uprising-2017,uprising-2017,Uprising 2017,icons,,UPRISING_2017,,False,False
mercy-valkyrie,mercy-valkyrie,Valkyrie,icons,,,,False,False
vampachimari,vampachimari,Vampachimari,icons,,HALLOWEEN,pachi,False,False
mccree-van-helsing,mccree-van-helsing,Van Helsing,icons,,HALLOWEEN,,False,True
varian,varian,Varian,icons,,,,False,False
symmetra-vaswanniversary,symmetra-vaswanniversary,Vaswanniversary,icons,,ANNIVERSARY_2017,,False,False
torbjorn-viking,torbjorn-viking,Viking,icons,,HALLOWEEN,,False,True
symmetra-vishkar,symmetra-vishkar,Vishkar,icons,,,,False,False
vivi,vivi,Vivi,icons,,,,False,False
winston-volleyball,winston-volleyball,Volleyball,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
pharah-wadjet,pharah-wadjet,Wadjet,icons,,,,False,False
ana-watcher,ana-watcher,Watcher,icons,,,,False,False
torbjorn-water-polo,torbjorn-water-polo,Water Polo,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
ana-wedjat,ana-wedjat,Wedjat,icons,,,,False,False
zarya-weightlifting,zarya-weightlifting,Weightlifting,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
widowmaker-widowmaker,widowmaker-widowmaker,Widowmaker,icons,,,,False,False
winston-winston,winston-winston,Winston,icons,,,,False,False
winter-wonderland-2016,winter-wonderland-2016,Winter Wonderland 2016,icons,,WINTER_WONDERLAND_2016,,False,False
witch-doctor,witch-doctor,Witch Doctor,icons,,,,False,False
witchs-brew,witchs-brew,Witch's Brew,icons,,HALLOWEEN,,False,False
witchs-hat,witchs-hat,Witch's Hat,icons,,HALLOWEEN,,False,False
wizard,wizard,Wizard,icons,,,,False,False
wolf,wolf,Wolf,icons,,HALLOWEEN,,False,False
wreath,wreath,Wreath,icons,,WINTER_WONDERLAND_2016,,False,False
reinhardt-wrestling,reinhardt-wrestling,Wrestling,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
year-of-the-rooster-2017,year-of-the-rooster-2017,Year of the Rooster 2017,icons,,YEAR_OF_THE_ROOSTER_2017,,False,False
winston-yeti,winston-yeti,Yeti,icons,,WINTER_WONDERLAND_2016,,False,False
you-are-not-prepared,you-are-not-prepared,You are not prepared,icons,,,,True,False
zarya-zarya,zarya-zarya,Zarya,icons,,,,False,False
zarya-zaryanoversary,zarya-zaryanoversary,Zaryanoversary,icons,,ANNIVERSARY_2017,,False,False
zenyatta-zeniversary,zenyatta-zeniversary,Zeniversary,icons,,ANNIVERSARY_2017,,False,False
zenyatta-zenyatta,zenyatta-zenyatta,Zenyatta,icons,,,,False,False
zerg,zerg,Zerg,icons,,,,False,False
ana-justice-delivered,ana-justice-delivered,Justice delivered,voicelines,common,,,True,False
ana-children-behave,ana-children-behave,"Children, behave",voicelines,common,,,False,False
ana-everyone-dies,ana-everyone-dies,Everyone dies,voicelines,common,,,False,False
ana-it-takes-a-woman-to-know,ana-it-takes-a-woman-to-know,It takes a woman to know,voicelines,common,,,False,False
ana-justice-rains-from-above,ana-justice-rains-from-above,Justice rains from above,voicelines,common,,,False,False
ana-mother-knows-best,ana-mother-knows-best,Mother knows best,voicelines,common,,,False,False
ana-no-scope-needed,ana-no-scope-needed,No scope needed,voicelines,common,,,False,False
ana-someone-to-tuck-you-in,ana-someone-to-tuck-you-in,someone to tuck you in?,voicelines,common,,,False,False
ana-what-are-you-thinking,ana-what-are-you-thinking,What are you thinking?,voicelines,common,,,False,False
ana-witness-me,ana-witness-me,Witness me,voicelines,common,,,False,False
ana-you-know-nothing,ana-you-know-nothing,You know nothing,voicelines,common,,,False,False
ana-learn-from-the-pain,ana-learn-from-the-pain,Learn from the Pain,voicelines,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
ana-are-you-scared,ana-are-you-scared,Are you scared?,voicelines,common,HALLOWEEN,HALLOWEEN_2016,False,False
ana-im-watching-out-for-you,ana-im-watching-out-for-you,I'm watching out for you,voicelines,common,WINTER_WONDERLAND_2016,,False,False
ana-the-moon-in-winter,ana-the-moon-in-winter,The moon in winter,voicelines,common,YEAR_OF_THE_ROOSTER_2017,,False,False
ana-damn,ana-damn,Damn,voicelines,common,UPRISING_2017,,False,False
ana-the-ghost-watches,ana-the-ghost-watches,The Ghost Watches,voicelines,common,UPRISING_2017,,False,False
ana-follow-me,ana-follow-me,Follow me,voicelines,common,ANNIVERSARY_2017,,False,False
ana-the-adults-are-talking,ana-the-adults-are-talking,The adults are talking,voicelines,common,ANNIVERSARY_2017,,False,False
ana-better-than-retirement,ana-better-than-retirement,Better than retirement,voicelines,common,SUMMER_GAMES,,False,True
ana-dont-be-scared,ana-dont-be-scared,Don't be scared,voicelines,common,HALLOWEEN,,False,True
ana-ana,ana-ana,Ana,icons,,,,False,False
ana-watcher,ana-watcher,Watcher,icons,,,,False,False
ana-wedjat,ana-wedjat,Wedjat,icons,,,,False,False
ana-shooting,ana-shooting,Shooting,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
ana-anaversary,ana-anaversary,Anaversary,icons,,ANNIVERSARY_2017,,False,False
ana-corsair,ana-corsair,Corsair,icons,,HALLOWEEN,,False,True
ana-heroic,ana-heroic,Heroic,emotes,common,,,True,False
ana-disapproving,ana-disapproving,Disapproving,emotes,epic,,,False,False
ana-not-impressed,ana-not-impressed,Not impressed,emotes,epic,,,False,False
ana-protector,ana-protector,Protector,emotes,epic,,,False,False
ana-take-a-knee,ana-take-a-knee,Take a Knee,emotes,epic,,,False,False
ana-tea-time,ana-tea-time,Tea Time,emotes,epic,,,False,False
ana-candy,ana-candy,Candy,emotes,epic,HALLOWEEN,HALLOWEEN_2016,False,False
ana-dance,ana-dance,Dance,emotes,epic,ANNIVERSARY_2017,,False,False
ana-beach-ball,ana-beach-ball,Beach Ball,emotes,epic,SUMMER_GAMES,,False,True
ana-classic,ana-classic,Classic,skins,common,,,True,False
ana-citrine,ana-citrine,Citrine,skins,rare,,,False,False
ana-garnet,ana-garnet,Garnet,skins,rare,,,False,False
ana-peridot,ana-peridot,Peridot,skins,rare,,,False,False
ana-turquoise,ana-turquoise,Turquoise,skins,rare,,,False,False
ana-merciful,ana-merciful,Merciful,skins,epic,,,False,False
ana-shrike,ana-shrike,Shrike,skins,epic,,,False,False
ana-ghoul,ana-ghoul,Ghoul,skins,epic,HALLOWEEN,HALLOWEEN_2016,False,False
ana-tal,ana-tal,Tal,skins,epic,YEAR_OF_THE_ROOSTER_2017,,False,False
ana-captain-amari,ana-captain-amari,Captain Amari,skins,legendary,,,False,False
ana-horus,ana-horus,Horus,skins,legendary,,,False,False
ana-wadjet,ana-wadjet,Wadjet,skins,legendary,,,False,False
ana-wasteland,ana-wasteland,Wasteland,skins,legendary,,,False,False
ana-corsair,ana-corsair,Corsair,skins,legendary,HALLOWEEN,,False,True
ana-action,ana-action,Action,sprays,common,,,False,False
ana-ana,ana-ana,Ana,sprays,common,,,False,False
ana-bearer,ana-bearer,Bearer,sprays,common,,,False,False
ana-cheer,ana-cheer,Cheer,sprays,common,,,False,False
ana-cracked,ana-cracked,Cracked,sprays,common,,,False,False
ana-eyepatch,ana-eyepatch,Eyepatch,sprays,common,,,False,False
ana-fareeha,ana-fareeha,Fareeha,sprays,common,,,False,False
ana-gaze,ana-gaze,Gaze,sprays,common,,,False,False
ana-grenade,ana-grenade,Grenade,sprays,common,,,False,False
ana-guardian,ana-guardian,Guardian,sprays,common,,,False,False
ana-hesitation,ana-hesitation,Hesitation,sprays,common,,,False,False
ana-icon,ana-icon,Icon,sprays,common,,,False,False
ana-letter,ana-letter,Letter,sprays,common,,,False,False
ana-old-soldier,ana-old-soldier,Old Soldier,sprays,common,,,False,False
ana-overhead,ana-overhead,Overhead,sprays,common,,,False,False
ana-photograph,ana-photograph,Photograph,sprays,common,,,False,False
ana-pillow,ana-pillow,Pillow,sprays,common,,,False,False
ana-rifle,ana-rifle,Rifle,sprays,common,,,False,False
ana-shadow,ana-shadow,Shadow,sprays,common,,,False,False
ana-shhh,ana-shhh,Shhh,sprays,common,,,False,False
ana-sidearm,ana-sidearm,Sidearm,sprays,common,,,False,False
ana-wedjat,ana-wedjat,Wedjat,sprays,common,,,False,False
ana-wrist-launcher,ana-wrist-launcher,Wrist Launcher,sprays,common,,,False,False
ana-zzz,ana-zzz,Zzz,sprays,common,,,False,False
ana-shooting,ana-shooting,Shooting,sprays,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
ana-trick-or-treat,ana-trick-or-treat,Trick or Treat,sprays,common,HALLOWEEN,HALLOWEEN_2016,False,False
ana-ornament,ana-ornament,Ornament,sprays,common,WINTER_WONDERLAND_2016,,False,False
ana-warm,ana-warm,Warm,sprays,common,WINTER_WONDERLAND_2016,,False,False
ana-dance,ana-dance,Dance,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
ana-dragon-dance,ana-dragon-dance,Dragon Dance,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
ana-newborn,ana-newborn,Newborn,sprays,common,UPRISING_2017,,False,False
ana-ace-of-hearts,ana-ace-of-hearts,Ace of Hearts,sprays,common,ANNIVERSARY_2017,,False,False
ana-cute,ana-cute,Cute,sprays,common,,,False,False
ana-pixel,ana-pixel,Pixel,sprays,common,,,False,False
ana-heroic,ana-heroic,Heroic,intros,common,,,True,False
ana-guardian,ana-guardian,Guardian,intros,epic,,,False,False
ana-locked-on,ana-locked-on,Locked On,intros,epic,,,False,False
ana-shh,ana-shh,Shh...,intros,epic,,,False,False
ana-heroic,ana-heroic,Heroic,poses,common,,,True,False
ana-mission-complete,ana-mission-complete,Mission Complete,poses,rare,,,False,False
ana-protector,ana-protector,Protector,poses,rare,,,False,False
ana-seated,ana-seated,Seated,poses,rare,,,False,False
ana-rip,ana-rip,R.I.P.,poses,rare,HALLOWEEN,HALLOWEEN_2016,False,False
ana-toast,ana-toast,Toast,poses,rare,WINTER_WONDERLAND_2016,,False,False
ana-folded-hands,ana-folded-hands,Folded hands,poses,rare,YEAR_OF_THE_ROOSTER_2017,,False,False
orisa-following-my-programming,orisa-following-my-programming,Following My Programming,voicelines,common,,,True,False
orisa-current-outlook,orisa-current-outlook,Current Outlook,voicelines,common,,,False,False
orisa-do-you-need-a-hug,orisa-do-you-need-a-hug,Do You Need a Hug?,voicelines,common,,,False,False
orisa-efi-will-not-be-happy,orisa-efi-will-not-be-happy,Efi Will Not Be Happy,voicelines,common,,,False,False
orisa-error-sarcasm-module,orisa-error-sarcasm-module,Error: Sarcasm Module,voicelines,common,,,False,False
orisa-i-cant-do-that,orisa-i-cant-do-that,I Can't Do That,voicelines,common,,,False,False
orisa-medical-assistance,orisa-medical-assistance,Medical Assistance,voicelines,common,,,False,False
orisa-my-analysis,orisa-my-analysis,My Analysis,voicelines,common,,,False,False
orisa-no-parking,orisa-no-parking,No Parking,voicelines,common,,,False,False
orisa-shine-your-eyes,orisa-shine-your-eyes,Shine Your Eyes,voicelines,common,,,False,False
orisa-that-does-not-compute,orisa-that-does-not-compute,That Does Not Compute,voicelines,common,,,False,False
orisa-error-division-by-0,orisa-error-division-by-0,Error: division by 0,voicelines,common,UPRISING_2017,,False,False
orisa-functionality-still-in-beta,orisa-functionality-still-in-beta,Functionality still in beta,voicelines,common,UPRISING_2017,,False,False
orisa-satsified-with-protection,orisa-satsified-with-protection,Satisfied with protection,voicelines,common,ANNIVERSARY_2017,,False,False
orisa-your-compliance,orisa-your-compliance,Your Compliance,voicelines,common,ANNIVERSARY_2017,,False,False
orisa-golden,orisa-golden,Golden,voicelines,common,SUMMER_GAMES,,False,True
orisa-grease-to-your-elbow,orisa-grease-to-your-elbow,Grease to your elbow,voicelines,common,SUMMER_GAMES,,False,True
orisa-be-careful,orisa-be-careful,Be careful,voicelines,common,HALLOWEEN,,False,True
orisa-your-pulse-has-increased,orisa-your-pulse-has-increased,Your pulse has increased,voicelines,common,HALLOWEEN,,False,True
orisa-efi,orisa-efi,Efi,icons,,,,False,False
orisa-orisa,orisa-orisa,Orisa,icons,,,,False,False
orisa-protector,orisa-protector,Protector,icons,,,,False,False
orisa-or14ns,orisa-or14ns,OR14-NS,icons,,UPRISING_2017,,False,False
orisa-aurisa,orisa-aurisa,Aurisa,icons,,ANNIVERSARY_2017,,False,False
orisa-javelin,orisa-javelin,Javelin,icons,,SUMMER_GAMES,,False,True
orisa-heroic,orisa-heroic,Heroic,emotes,common,,,True,False
orisa-cheer,orisa-cheer,Cheer,emotes,epic,,,False,False
orisa-halt,orisa-halt,Halt!,emotes,epic,,,False,False
orisa-kicking-dirt,orisa-kicking-dirt,Kicking Dirt,emotes,epic,,,False,False
orisa-laugh,orisa-laugh,Laugh,emotes,epic,,,False,False
orisa-sit,orisa-sit,Sit,emotes,epic,,,False,False
orisa-dance,orisa-dance,Dance,emotes,epic,ANNIVERSARY_2017,,False,False
orisa-classic,orisa-classic,Classic,skins,common,,,True,False
orisa-dawn,orisa-dawn,Dawn,skins,rare,,,False,False
orisa-plains,orisa-plains,Plains,skins,rare,,,False,False
orisa-sunrise,orisa-sunrise,Sunrise,skins,rare,,,False,False
orisa-twilight,orisa-twilight,Twilight,skins,rare,,,False,False
orisa-camouflage,orisa-camouflage,Camouflage,skins,epic,,,False,False
orisa-or15,orisa-or15,OR15,skins,epic,,,False,False
orisa-carbon-fiber,orisa-carbon-fiber,Carbon Fiber,skins,legendary,,,False,False
orisa-dynastinae,orisa-dynastinae,Dynastinae,skins,legendary,,,False,False
orisa-megasoma,orisa-megasoma,Megasoma,skins,legendary,,,False,False
orisa-protector,orisa-protector,Protector,skins,legendary,,,False,False
orisa-null-sector,orisa-null-sector,Null Sector,skins,legendary,UPRISING_2017,,False,False
orisa-frustration,orisa-frustration,>_<,sprays,common,,,False,False
orisa-joy,orisa-joy,^_^,sprays,common,,,False,False
orisa-amused,orisa-amused,Amused,sprays,common,,,False,False
orisa-carving,orisa-carving,Carving,sprays,common,,,False,False
orisa-city-of-harmony,orisa-city-of-harmony,City of Harmony,sprays,common,,,False,False
orisa-cleaning,orisa-cleaning,Cleaning,sprays,common,,,False,False
orisa-companions,orisa-companions,Companions,sprays,common,,,False,False
orisa-construction,orisa-construction,Construction,sprays,common,,,False,False
orisa-crossing-guard,orisa-crossing-guard,Crossing Guard,sprays,common,,,False,False
orisa-drumming,orisa-drumming,Drumming,sprays,common,,,False,False
orisa-guardian,orisa-guardian,Guardian,sprays,common,,,False,False
orisa-heroes,orisa-heroes,Heroes,sprays,common,,,False,False
orisa-icon,orisa-icon,Icon,sprays,common,,,False,False
orisa-just-dessert,orisa-just-dessert,Just Dessert,sprays,common,,,False,False
orisa-kick,orisa-kick,Kick,sprays,common,,,False,False
orisa-protector,orisa-protector,Protector,sprays,common,,,False,False
orisa-shield,orisa-shield,Shield,sprays,common,,,False,False
orisa-stop,orisa-stop,Stop,sprays,common,,,False,False
orisa-supercharged,orisa-supercharged,Supercharged,sprays,common,,,False,False
orisa-swing,orisa-swing,Swing,sprays,common,,,False,False
orisa-tracks,orisa-tracks,Tracks,sprays,common,,,False,False
orisa-unmoving,orisa-unmoving,Unmoving,sprays,common,,,False,False
orisa-xing,orisa-xing,Xing,sprays,common,,,False,False
orisa-flower,orisa-flower,Flower,sprays,common,UPRISING_2017,,False,False
orisa-nine-of-spades,orisa-nine-of-spades,Nine of Spades,sprays,common,ANNIVERSARY_2017,,False,False
orisa-javelin,orisa-javelin,Javelin,sprays,common,SUMMER_GAMES,,False,True
orisa-trick-or-treat,orisa-trick-or-treat,Trick or Treat,sprays,common,HALLOWEEN,,False,True
orisa-cute,orisa-cute,Cute,sprays,common,,,False,False
orisa-pixel,orisa-pixel,Pixel,sprays,common,,,False,False
orisa-heroic,orisa-heroic,Heroic,intros,common,,,True,False
orisa-keeping-you-safe,orisa-keeping-you-safe,Keeping You Safe,intros,epic,,,False,False
orisa-oh,orisa-oh,Oh!,intros,epic,,,False,False
orisa-supercharger,orisa-supercharger,Supercharger,intros,epic,,,False,False
orisa-heroic,orisa-heroic,Heroic,poses,common,,,True,False
orisa-confident,orisa-confident,Confident,poses,rare,,,False,False
orisa-flex,orisa-flex,Flex,poses,rare,,,False,False
orisa-halt,orisa-halt,Halt!,poses,rare,,,False,False
orisa-pumpkin-head,orisa-pumpkin-head,Pumpkin Head,poses,rare,HALLOWEEN,,False,True
winston-curious,winston-curious,Curious,voicelines,common,,,True,False
winston-excuse-me,winston-excuse-me,...Excuse me,voicelines,common,,,False,False
winston-dont-get-me-angry,winston-dont-get-me-angry,Don't get me angry,voicelines,common,,,False,False
winston-how-embarrassing,winston-how-embarrassing,How embarrassing!,voicelines,common,,,False,False
winston-i-do-not-want-a-banana,winston-i-do-not-want-a-banana,I do not want a banana,voicelines,common,,,False,False
winston-natural-selection,winston-natural-selection,Natural selection,voicelines,common,,,False,False
winston-no-monkey-business,winston-no-monkey-business,No monkey business,voicelines,common,,,False,False
winston-peanut-butter,winston-peanut-butter,Peanut butter?,voicelines,common,,,False,False
winston-sorry-about-that,winston-sorry-about-that,Sorry about that!,voicelines,common,,,False,False
winston-the-power-of-science,winston-the-power-of-science,The power of science!,voicelines,common,,,False,False
winston-we-have-a-problem,winston-we-have-a-problem,We have a problem,voicelines,common,,,False,False
winston-playtimes-over,winston-playtimes-over,Playtime's over,voicelines,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
winston-this-is-not-a-costume,winston-this-is-not-a-costume,This is not a costume,voicelines,common,HALLOWEEN,HALLOWEEN_2016,False,False
winston-i-got-you-something,winston-i-got-you-something,I... got you something,voicelines,common,WINTER_WONDERLAND_2016,,False,False
winston-that-was-awesome,winston-that-was-awesome,That was awesome!,voicelines,common,YEAR_OF_THE_ROOSTER_2017,,False,False
winston-have-you-seen-my-glasses,winston-have-you-seen-my-glasses,Have you seen my glasses?,voicelines,common,UPRISING_2017,,False,False
winston-i-have-the-right-stuff,winston-i-have-the-right-stuff,I have the right stuff,voicelines,common,UPRISING_2017,,False,False
winston-its-my-time-to-shine,winston-its-my-time-to-shine,It's my time to shine!,voicelines,common,ANNIVERSARY_2017,,False,False
winston-oh-yeah,winston-oh-yeah,Oh yeah!,voicelines,common,ANNIVERSARY_2017,,False,False
winston-oh-its-on,winston-oh-its-on,"Oh, it's on!",voicelines,common,SUMMER_GAMES,,False,True
winston-ooh-scary,winston-ooh-scary,"Ooh, scary",voicelines,common,HALLOWEEN,,False,True
winston-lunar-ops,winston-lunar-ops,Lunar Ops,icons,,,,False,False
winston-peanut-butter,winston-peanut-butter,Peanut Butter,icons,,,,False,False
winston-winston,winston-winston,Winston,icons,,,,False,False
winston-volleyball,winston-volleyball,Volleyball,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
winston-yeti,winston-yeti,Yeti,icons,,WINTER_WONDERLAND_2016,,False,False
winston-monkey,winston-monkey,Monkey,icons,,YEAR_OF_THE_ROOSTER_2017,,False,False
winston-goldrilla,winston-goldrilla,Goldrilla,icons,,ANNIVERSARY_2017,,False,False
winston-heroic,winston-heroic,Heroic,emotes,common,,,True,False
winston-laughing-matter,winston-laughing-matter,Laughing Matter,emotes,epic,,,False,False
winston-monkey-business,winston-monkey-business,Monkey Business,emotes,epic,,,False,False
winston-peanut-butter,winston-peanut-butter,Peanut butter?,emotes,epic,,,False,False
winston-roar,winston-roar,Roar,emotes,epic,,,False,False
winston-sitting-around,winston-sitting-around,Sitting Around,emotes,epic,,,False,False
winston-shadow-puppets,winston-shadow-puppets,Shadow Puppets,emotes,epic,HALLOWEEN,HALLOWEEN_2016,False,False
